study index0
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0001                 110.0        900.00000       19.40    Use file-vertical      1  N44°26'01.78" W123°10'33.01"
ABAB0002                  79.9        900.00000       19.40    Use file-vertical      1  N44°51'13.08" W123°11'44.63"
ABAC0001                 523.3        900.00000       15.00   Isotropic-horizontal      1  N44°26'40.54" W122°53'30.49"
ABAD0003                 261.3        900.00000       19.40    Use file-vertical      1  N44°28'04.66" W123°01'23.94"
ABAD0004                 261.3        900.00000       19.40    Use file-vertical      1  N44°28'04.66" W123°01'23.94"
ABAE0001                 169.0        900.00000       19.40    Use file-vertical      1  N44°38'48.01" W123°08'14.85"
ABAE0002                 169.0        900.00000       19.40    Use file-vertical      1  N44°38'48.01" W123°08'14.85"
ABAF0001                  99.3        900.00000       19.40    Use file-vertical      1  N44°36'51.55" W123°04'56.28"
ABAF0003                  99.3        900.00000       19.40    Use file-vertical      1  N44°36'51.55" W123°04'56.28"
ABAG0001                 140.4        900.00000       19.40    Use file-vertical      1  N44°32'24.03" W122°54'00.42"
ABAG0002                 140.4        900.00000       19.40    Use file-vertical      1  N44°32'24.03" W122°54'00.42"
ABAH0001                 109.3        900.00000       19.40    Use file-vertical      1  N44°31'14.07" W123°11'21.65"
ABAI0001                 118.3        900.00000       19.40    Use file-vertical      1  N44°34'59.31" W123°03'06.87"
ABAI0002                 118.3        900.00000       19.40    Use file-vertical      1  N44°34'59.31" W123°03'06.87"
ABAJ0002                 161.8        900.00000       19.40    Use file-vertical      1  N44°36'53.78" W122°49'59.40"
ABAJ0003                 161.8        900.00000       19.40    Use file-vertical      1  N44°36'53.78" W122°49'59.40"
ABAK0001                 167.7        900.00000       19.40    Use file-vertical      1  N44°42'50.33" W123°03'00.99"
ABAK0003                 167.7        900.00000       19.40    Use file-vertical      1  N44°42'50.33" W123°03'00.99"
ABAL0001                 188.5        900.00000       19.40    Use file-vertical      1  N44°47'54.28" W122°47'12.92"
ABAM0001                 189.4        900.00000       19.40    Use file-vertical      1  N44°40'18.64" W123°08'22.84"
ABAM0002                 189.4        900.00000       19.40    Use file-vertical      1  N44°40'18.64" W123°08'22.84"
ABAN0001                 124.0        900.00000       19.40    Use file-vertical      1  N44°25'03.17" W123°03'28.52"
ABAN0002                 124.0        900.00000       19.40    Use file-vertical      1  N44°25'03.17" W123°03'28.52"
ABAO0001                 234.8        900.00000       19.40    Use file-vertical      1  N44°39'14.36" W123°00'59.48"
ABAO0003                 234.8        900.00000       19.40    Use file-vertical      1  N44°39'14.36" W123°00'59.48"
ABAP0001                 344.2        900.00000       19.40    Use file-vertical      1  N44°47'18.47" W122°59'03.28"
ABAQ0001                 148.4        900.00000       19.40    Use file-vertical      1  N44°34'33.25" W122°47'46.44"
ABAR0001                 281.2        900.00000       19.40    Use file-vertical      1  N44°41'36.35" W122°50'16.12"
ABAS0001                 498.8        900.00000       19.40    Use file-vertical      1  N44°45'57.15" W122°38'29.82"
ABAT0001                 677.2        900.00000       19.40    Use file-vertical      1  N44°39'14.39" W122°38'56.34"
ABAU0001                 373.0        900.00000       19.40    Use file-vertical      1  N44°35'00.31" W122°37'36.20"
ABAV0001                 664.7        900.00000       19.40    Use file-vertical      1  N44°33'42.78" W122°40'00.73"
ABAW0001                 827.6        900.00000       19.40    Use file-vertical      1  N44°30'57.67" W122°38'06.83"
ABAX0001                 704.1        900.00000       15.00   Isotropic-horizontal      1  N44°28'18.91" W122°38'13.81"
ABAY0001                 398.9        900.00000       19.40    Use file-vertical      1  N44°27'11.89" W122°45'30.67"
ABAY0002                 398.9        900.00000       19.40    Use file-vertical      1  N44°27'11.89" W122°45'30.67"
ABAZ0001                  82.7        900.00000       15.00   Isotropic-horizontal      1  N44°48'37.06" W123°09'32.51"
ABBA0001                  99.2        900.00000       19.40    Use file-vertical      1  N44°36'42.03" W123°06'40.15"
ABBA0002                  99.2        900.00000       19.40    Use file-vertical      1  N44°36'42.03" W123°06'40.15"
ABBB0002                 367.3        900.00000       19.40    Use file-vertical      1  N44°30'47.04" W122°57'57.99"
ABBC0002                 100.4        900.00000       21.40    Use file-vertical      1  N44°35'25.73" W122°57'28.53"
ABBD0001                 236.1        900.00000       19.40    Use file-vertical      1  N44°30'14.40" W122°56'43.36"
ABBE0001                 103.3        900.00000       19.40    Use file-vertical      1  N44°34'54.80" W123°08'39.31"
ABBE0002                 103.3        900.00000       19.40    Use file-vertical      1  N44°34'54.80" W123°08'39.31"
ABBF0002                  98.6        900.00000       19.40    Use file-vertical      1  N44°38'19.50" W123°05'00.56"
ABBF0003                  98.6        900.00000       19.40    Use file-vertical      1  N44°38'19.50" W123°05'00.56"
ABBG0001                 561.8        900.00000       19.40    Use file-vertical      1  N44°42'02.41" W122°38'25.44"
ABBH0002                 231.8        900.00000       19.40    Use file-vertical      1  N44°51'01.52" W123°02'52.17"
ABBI0001                 341.0        900.00000       19.40    Use file-vertical      1  N44°32'06.08" W122°50'04.76"
ABBJ0001                 160.2        900.00000       19.40    Use file-vertical      1  N44°40'44.43" W122°53'18.52"
ABBK0001                 175.4        900.00000       21.40    Use file-vertical      1  N44°45'28.31" W122°46'47.46"
ABBK0002                 175.4        900.00000       21.40    Use file-vertical      1  N44°45'28.31" W122°46'47.46"
ABBL0001                 104.0        900.00000       15.00   Isotropic-horizontal      1  N44°33'27.81" W123°06'22.14"
ABBM0001                 108.0        900.00000       15.00   Isotropic-horizontal      1  N44°37'42.10" W122°59'00.92"
ABBN0001                 146.0        900.00000       15.00   Isotropic-horizontal      1  N44°47'54.24" W122°52'10.85"
ABBO0001                  99.1        900.00000       19.40    Use file-vertical      1  N44°35'22.35" W123°11'52.74"
ABBP0001                 109.9        900.00000       15.00   Isotropic-horizontal      1  N44°39'25.11" W122°55'27.35"
ABBQ0001                 214.2        900.00000       15.00   Isotropic-horizontal      1  N44°37'45.39" W122°43'46.76"
ABBR0001                 178.5        900.00000       15.00   Isotropic-horizontal      1  N44°51'02.15" W122°47'48.96"
ABBS0001                 176.1        900.00000       15.00   Isotropic-horizontal      1  N44°31'04.71" W122°47'11.15"
ABBT0001                 105.6        900.00000       15.00   Isotropic-horizontal      1  N44°28'47.43" W123°07'08.17"
ABBU0002                 126.2        900.00000       19.40    Use file-vertical      1  N44°35'38.06" W122°52'48.30"
