Nazwa stacji,ID sektora,Wys. stacji n.p.m. [m],Moc nadajnika [W]/[dBW],Typ anteny nadawczej,Azymut [°],Pochylenie [°],Ruch generowany [mErl.]/[Mbps],Liczba potrzebnych kanałów,Numery przydzielonych kanałów radiowych,Rzeczywiste prawdopodobieństwo blokady [%],Definicja sąsiedztwa dla HO (ID sektorów)
ABAA000,ABAA0001,80.00,19.95W/13.00dBW,Directional,0.000,5.000,653.83mErl/0.6538Mbps,4,8,0.00,
ABAB000,ABAB0002,49.90,19.95W/13.00dBW,Directional,90.000,0.000,12124.84mErl/12.1248Mbps,22,24,0.18,
ABAC000,ABAC0001,493.25,19.95W/13.00dBW,Omni,0.000,0.000,6533.50mErl/6.5335Mbps,14,16,0.13,
ABAD000,ABAD0003,231.28,19.95W/13.00dBW,Directional,120.000,0.000,893.87mErl/0.8939Mbps,5,8,0.00,
,ABAD0004,231.28,19.95W/13.00dBW,Directional,330.000,0.000,1379.76mErl/1.3798Mbps,6,8,0.01,
ABAE000,ABAE0001,138.95,19.95W/13.00dBW,Directional,90.000,0.000,5963.60mErl/5.9636Mbps,13,16,0.05,
,ABAE0002,138.95,19.95W/13.00dBW,Directional,320.000,0.000,3623.79mErl/3.6238Mbps,10,16,0.00,
ABAF000,ABAF0001,69.35,19.95W/13.00dBW,Directional,0.000,0.000,20666.34mErl/20.6663Mbps,33,40,0.00,
,ABAF0003,69.35,19.95W/13.00dBW,Directional,120.000,0.000,18527.15mErl/18.5271Mbps,30,32,0.30,
ABAG000,ABAG0001,110.43,19.95W/13.00dBW,Directional,0.000,0.000,9938.06mErl/9.9381Mbps,19,24,0.01,
,ABAG0002,110.43,19.95W/13.00dBW,Directional,240.000,0.000,25024.02mErl/25.0240Mbps,39,40,0.00,
ABAH000,ABAH0001,79.32,19.95W/13.00dBW,Directional,10.000,0.000,3641.84mErl/3.6418Mbps,10,16,0.00,
ABAI000,ABAI0001,88.30,19.95W/13.00dBW,Directional,80.000,0.000,1166.81mErl/1.1668Mbps,5,8,0.00,
,ABAI0002,88.30,19.95W/13.00dBW,Directional,260.000,0.000,782.88mErl/0.7829Mbps,4,8,0.00,
ABAJ000,ABAJ0002,131.82,19.95W/13.00dBW,Directional,280.000,-8.000,680.85mErl/0.6808Mbps,4,8,0.00,
,ABAJ0003,131.82,19.95W/13.00dBW,Directional,40.000,-8.000,1241.87mErl/1.2419Mbps,5,8,0.00,
ABAK000,ABAK0001,137.69,19.95W/13.00dBW,Directional,0.000,0.000,4421.57mErl/4.4216Mbps,11,16,0.00,
,ABAK0003,137.69,19.95W/13.00dBW,Directional,120.000,10.000,7502.35mErl/7.5023Mbps,16,16,0.50,
ABAL000,ABAL0001,158.46,19.95W/13.00dBW,Directional,300.000,0.000,19942.49mErl/19.9425Mbps,32,32,0.86,
ABAM000,ABAM0001,159.44,19.95W/13.00dBW,Directional,0.000,0.000,5861.42mErl/5.8614Mbps,13,16,0.04,
,ABAM0002,159.44,19.95W/13.00dBW,Directional,120.000,0.000,6926.59mErl/6.9266Mbps,15,16,0.23,
ABAN000,ABAN0001,93.95,19.95W/13.00dBW,Directional,340.000,0.000,365.91mErl/0.3659Mbps,3,8,0.00,
,ABAN0002,93.95,19.95W/13.00dBW,Directional,70.000,0.000,116.97mErl/0.1170Mbps,2,8,0.00,
ABAO000,ABAO0001,204.80,19.95W/13.00dBW,Directional,0.000,0.000,7031.61mErl/7.0316Mbps,15,16,0.27,
,ABAO0003,204.80,19.95W/13.00dBW,Directional,120.000,0.000,1865.82mErl/1.8658Mbps,7,8,0.07,
ABAP000,ABAP0001,314.18,19.95W/13.00dBW,Directional,20.000,0.000,11075.14mErl/11.0751Mbps,21,24,0.05,
ABAQ000,ABAQ0001,118.40,19.95W/13.00dBW,Directional,20.000,0.000,1025.87mErl/1.0259Mbps,5,8,0.00,
ABAR000,ABAR0001,251.18,19.95W/13.00dBW,Directional,350.000,0.000,7856.09mErl/7.8561Mbps,16,16,0.77,
ABAS000,ABAS0001,468.80,19.95W/13.00dBW,Directional,350.000,0.000,7205.12mErl/7.2051Mbps,15,16,0.34,
ABAT000,ABAT0001,647.22,19.95W/13.00dBW,Directional,340.000,5.000,638.87mErl/0.6389Mbps,4,8,0.00,
ABAU000,ABAU0001,342.98,19.95W/13.00dBW,Directional,300.000,10.000,80.98mErl/0.0810Mbps,2,8,0.00,
ABAV000,ABAV0001,634.67,19.95W/13.00dBW,Directional,260.000,20.000,1460.90mErl/1.4609Mbps,6,8,0.01,
ABAW000,ABAW0001,797.60,19.95W/13.00dBW,Directional,340.000,0.000,311.94mErl/0.3119Mbps,3,8,0.00,
ABAX000,ABAX0001,674.12,19.95W/13.00dBW,Omni,0.000,0.000,644.87mErl/0.6449Mbps,4,8,0.00,
ABAY000,ABAY0001,368.86,19.95W/13.00dBW,Directional,0.000,15.000,1880.74mErl/1.8807Mbps,7,8,0.08,
,ABAY0002,368.86,19.95W/13.00dBW,Directional,240.000,-10.000,3659.72mErl/3.6597Mbps,10,16,0.00,
ABAZ000,ABAZ0001,52.73,19.95W/13.00dBW,Omni,0.000,0.000,2897.71mErl/2.8977Mbps,9,16,0.00,
ABBA000,ABBA0001,69.22,19.95W/13.00dBW,Directional,10.000,0.000,17188.97mErl/17.1890Mbps,29,32,0.09,
,ABBA0002,69.22,19.95W/13.00dBW,Directional,240.000,0.000,4469.77mErl/4.4698Mbps,11,16,0.00,
